,name,rounds,scoring_avg,avg_drive,fwy%,gir%,sg_putt,sg_t2g,sg_tot,top_10,wins,year,money,points
2212,Lanto Griffin,80.0,71.145,302.5,55.27,67.42,-0.096,-0.17200000000000001,-0.268,0,0,2018,358380,175
2213,Retief Goosen,60.0,71.40899999999999,296.2,55.22,61.75,-0.411,-0.08600000000000002,-0.497,1,0,2018,545364,261
2214,Seamus Power,86.0,70.869,302.6,55.19,65.17,0.498,-0.32,0.178,2,0,2018,791018,377
2215,Charl Schwartzel,65.0,71.34899999999999,299.5,55.19,61.11,0.081,-0.276,-0.195,3,0,2018,1710179,528
2216,Patrick Reed,94.0,70.10600000000001,298.1,55.11,63.57,0.1639999999999999,0.783,0.947,7,1,2018,5006267,1555
2217,Tony Finau,105.0,69.52,315.1,55.09,70.18,0.2319999999999999,1.203,1.435,8,0,2018,5620138,1509
2218,Trey Mullinax,75.0,70.815,318.3,54.94,65.38,0.072,-0.144,-0.072,3,0,2018,1184245,528
2219,Martin Flores,92.0,71.458,300.0,54.92,66.34,-0.289,-0.2780000000000001,-0.5670000000000001,0,0,2018,449266,215
2220,Michael Kim,74.0,71.66199999999999,289.9,54.89,60.63,0.259,-1.262,-1.003,1,1,2018,1379736,675
2221,Brandon Harkins,101.0,70.721,303.1,54.79,65.67,0.225,0.05000000000000002,0.275,3,0,2018,1148115,528
2222,Zecheng Dou,53.0,72.773,291.9,54.76,63.72,-0.667,-0.5309999999999999,-1.198,0,0,2018,90993,21
2223,Tom Lovelady,87.0,71.252,315.9,54.73,67.08,-0.049,-0.14100000000000001,-0.19,2,0,2018,700783,332
2224,Daniel Summerhays,51.0,73.17699999999999,287.1,54.69,56.79,0.736,-2.841,-2.105,1,0,2018,234510,89
