,name,rounds,scoring_avg,avg_drive,fwy%,gir%,sg_putt,sg_t2g,sg_tot,top_10,wins,year,money,points
539,Scott Sterling,51.0,70.683,285.0,63.87,68.6,0.075,0.216,0.291,0,0,2009,318597,258
540,Scott Verplank,88.0,70.037,281.1,71.4,67.0,0.031,0.856,0.887,6,0,2009,2092114,1245
541,Sean O'Hair,80.0,69.947,293.3,61.6,67.84,-0.127,1.297,1.17,9,1,2009,4316493,2200
542,Sergio Garcia,59.0,70.056,298.5,59.61,65.61,-0.065,0.828,0.763,3,0,2009,1212522,1379
543,Spencer Levin,75.0,70.813,279.0,62.13,67.37,0.4,-0.244,0.156,1,0,2009,531240,295
544,Stephen Ames,77.0,70.248,287.4,65.23,67.7,0.436,0.318,0.754,5,1,2009,2131538,1102
545,Steve Elkington,70.0,71.119,285.3,68.56,67.46,-0.069,0.24,0.171,0,0,2009,243404,194
546,Steve Flesch,77.0,71.055,284.4,63.01,66.67,-0.292,0.18,-0.112,2,0,2009,668052,389
547,Steve Lowery,83.0,71.564,290.6,65.54,64.12,0.079,-0.601,-0.523,0,0,2009,329114,262
548,Steve Marino,98.0,69.903,295.7,63.41,68.26,0.11,0.91,1.02,5,0,2009,2161539,698
549,Steve Stricker,81.0,69.286,286.1,66.82,66.67,0.207,1.621,1.828,11,3,2009,6332636,2750
550,Stewart Cink,79.0,70.465,294.7,58.58,63.47,0.34,-0.054,0.287,4,1,2009,2821030,505
551,Stuart Appleby,79.0,71.43,290.1,59.1,63.18,-0.658,0.173,-0.486,1,0,2009,562837,302
552,Tag Ridings,50.0,70.696,307.4,56.14,66.41,-0.225,0.461,0.236,1,0,2009,363597,220
553,Ted Purdy,101.0,70.827,293.6,64.05,66.25,0.077,-0.029,0.048,1,0,2009,838707,580
554,Tiger Woods,64.0,68.052,298.4,64.29,68.46,0.877,2.311,3.189,14,6,2009,10508163,4000
555,Tim Clark,81.0,69.658,280.1,74.06,66.95,0.276,0.985,1.261,5,0,2009,2235105,1395
556,Tim Herron,87.0,70.86,292.1,58.28,63.92,-0.073,0.04,-0.033,0,0,2009,619843,421
557,Tim Petrovic,97.0,70.732,282.8,66.77,65.44,0.306,0.343,0.649,6,0,2009,1551866,655
558,Todd Hamilton,83.0,71.505,284.8,64.6,63.65,0.123,-0.612,-0.489,1,0,2009,605225,369
559,Tom Lehman,55.0,70.661,272.2,70.52,68.95,-0.531,0.889,0.358,1,0,2009,515450,285
560,Tom Pernice Jr.,82.0,71.127,281.9,64.29,64.77,-0.017,-0.048,-0.064,2,0,2009,536598,255
561,Tommy Armour III,58.0,71.227,287.3,68.61,67.05,-0.2,0.279,0.079,1,0,2009,503306,302
562,Troy Matteson,95.0,70.762,301.7,60.03,68.38,0.025,0.219,0.243,1,1,2009,1466070,754
563,Vaughn Taylor,88.0,70.818,283.1,66.61,64.95,0.339,-0.376,-0.037,2,0,2009,1178282,416
564,Vijay Singh,71.0,70.662,293.9,60.89,66.18,-0.657,0.777,0.12,3,0,2009,1276815,719
565,Webb Simpson,94.0,70.875,286.2,59.57,62.59,0.555,-0.38,0.175,4,0,2009,1249674,986
566,Will MacKenzie,69.0,71.742,289.4,66.08,67.87,-0.991,0.397,-0.594,2,0,2009,659686,292
567,Woody Austin,84.0,70.527,286.9,63.76,65.34,0.019,0.533,0.552,3,0,2009,1137331,892
568,Y.E. Yang,83.0,70.46,291.3,60.56,66.17,-0.065,0.448,0.383,4,2,2009,3489516,565
569,Zach Johnson,94.0,69.601,281.2,71.47,67.81,0.38,1.165,1.545,9,2,2009,4714813,2073
570,Ã?ngel Cabrera,55.0,70.175,304.1,51.46,62.35,0.172,0.372,0.544,3,1,2009,2625472,558
571,Aaron Baddeley,94.0,70.995,298.9,56.65,64.6,0.509,-0.294,0.208,2,0,2010,879317,559
572,Adam Scott,70.0,70.468,294.4,62.93,69.61,-0.746,1.609,0.862,4,1,2010,2489402,640
573,Alex Cejka,81.0,71.219,277.4,70.31,66.6,-0.466,0.396,-0.073,4,0,2010,904253,489
574,Alex Prugh,88.0,70.878,295.7,58.4,68.6,0.202,-0.112,0.092,4,0,2010,1272606,526
575,Andres Romero,73.0,70.986,296.0,55.05,65.07,0.254,-0.118,0.136,2,0,2010,979170,853
576,Andrew McLardy,52.0,72.217,289.9,61.43,65.97,-0.172,-0.832,-1.005,0,0,2010,53106,23
577,Aron Price,70.0,70.856,284.6,67.23,70.49,0.017,0.241,0.259,3,0,2010,713737,358
578,Ben Crane,85.0,70.234,282.3,71.13,68.22,0.266,0.594,0.862,5,1,2010,2841500,550
579,Ben Curtis,78.0,70.871,275.5,70.07,68.02,0.229,0.004,0.234,1,0,2010,812136,416
580,Bill Haas,87.0,70.308,293.3,64.17,69.92,-0.065,0.985,0.918,4,2,2010,2905136,1565
581,Bill Lunde,79.0,71.688,288.9,60.71,65.85,-0.012,-0.461,-0.466,3,1,2010,1075874,449
582,Billy Mayfair,78.0,71.426,284.0,70.29,69.68,-1.008,0.543,-0.467,2,0,2010,642231,314
583,Blake Adams,84.0,71.077,291.3,66.84,66.73,0.196,-0.432,-0.233,2,0,2010,963593,556
584,Bo Van Pelt,104.0,69.955,292.0,65.23,69.23,0.098,1.091,1.192,8,0,2010,3336258,445
585,Bob Estes,79.0,71.086,283.9,61.41,67.79,0.014,-0.064,-0.048,2,0,2010,701158,432
586,Boo Weekley,88.0,70.851,291.9,67.14,70.07,-0.376,0.558,0.183,3,0,2010,872729,526
587,Brandt Snedeker,89.0,70.258,277.1,64.27,62.36,0.464,0.109,0.572,5,0,2010,1602690,1470
588,Brenden Pappas,66.0,71.966,288.4,54.94,66.49,-0.091,-0.637,-0.731,0,0,2010,133584,89
589,Brendon de Jonge,114.0,70.344,286.9,65.51,70.07,0.0,0.757,0.762,7,0,2010,2167978,1170
590,Brett Quigley,96.0,71.082,283.2,60.26,70.12,0.078,-0.014,0.065,1,0,2010,497296,336
591,Brett Wetterich,54.0,70.847,307.3,57.82,68.11,-0.126,0.23,0.107,1,0,2010,510672,248
592,Brian Davis,101.0,71.376,278.9,68.35,63.09,-0.249,0.067,-0.181,2,0,2010,1640516,1149
593,Brian Gay,101.0,70.756,266.4,74.0,63.44,0.73,-0.211,0.518,2,0,2010,1521663,1142
594,Brian Stuard,81.0,71.595,286.9,63.09,65.04,0.289,-1.033,-0.746,1,0,2010,536497,226
595,Briny Baird,87.0,70.639,282.0,65.45,69.41,-0.026,0.188,0.169,1,0,2010,753577,458
596,Bryce Molder,84.0,70.403,278.0,63.16,65.28,0.476,0.034,0.507,6,0,2010,1428438,1088
597,Bubba Watson,77.0,70.229,309.8,55.67,68.54,-0.077,0.77,0.695,4,1,2010,3198998,600
598,Cameron Beckman,68.0,71.395,285.7,63.72,66.15,-0.297,-0.253,-0.545,3,1,2010,1158485,427
599,Cameron Percy,73.0,71.622,294.0,58.93,70.42,-0.491,0.255,-0.236,1,0,2010,620262,206
600,Cameron Tringale,55.0,71.598,294.5,58.71,70.18,-0.711,0.243,-0.465,0,0,2010,302618,107
601,Camilo Villegas,78.0,70.425,289.6,61.66,66.05,-0.396,1.087,0.691,7,1,2010,3035523,623
602,Carl Pettersson,99.0,70.552,282.1,62.82,63.8,0.818,-0.263,0.554,4,1,2010,1934465,1332
603,Chad Campbell,94.0,70.629,285.1,69.01,69.06,-0.106,0.75,0.645,2,0,2010,971154,598
604,Chad Collins,87.0,70.599,275.8,60.27,63.29,0.626,-0.483,0.143,3,0,2010,815961,540
605,Charles Howell III,103.0,70.292,294.3,54.58,68.57,0.452,0.329,0.784,6,0,2010,1482211,764
606,Charles Warren,64.0,70.917,302.5,65.93,71.74,-0.411,0.521,0.109,3,0,2010,574616,116
607,Charley Hoffman,85.0,70.254,298.2,61.59,66.53,0.104,0.889,0.995,5,1,2010,2559646,2500
608,Charlie Wi,95.0,70.284,281.2,64.19,66.55,0.574,0.12,0.679,4,0,2010,1568492,1560
609,Chris Couch,66.0,70.948,292.4,65.87,66.5,0.302,0.002,0.307,2,0,2010,888146,709
610,Chris DiMarco,88.0,70.983,279.0,70.13,67.39,-0.058,0.115,0.052,1,0,2010,409205,286
611,Chris Riley,73.0,70.345,278.3,68.7,67.33,0.185,0.351,0.538,3,0,2010,1001582,512
612,Chris Stroud,90.0,70.966,287.2,62.98,69.31,0.062,0.169,0.229,4,0,2010,942082,369
613,Chris Tidland,77.0,71.255,288.1,63.08,66.36,0.231,-0.239,-0.004,2,0,2010,588291,271
614,Cliff Kresge,50.0,71.417,283.2,68.59,66.67,-0.573,0.083,-0.488,0,0,2010,199584,91
615,Craig Bowden,56.0,72.229,270.0,72.86,62.64,-0.404,-0.698,-1.104,0,0,2010,140935,79
616,D.A. Points,90.0,70.958,283.0,64.52,67.9,-0.1,0.302,0.199,3,0,2010,975433,654
617,D.J. Trahan,92.0,70.661,301.1,61.4,71.26,-0.467,0.963,0.494,7,0,2010,1619693,1195
618,Daniel Chopra,74.0,72.194,295.9,51.27,61.64,0.361,-1.461,-1.096,0,0,2010,311405,142
619,David Duval,71.0,71.688,286.9,57.08,66.1,0.12,-0.397,-0.278,2,0,2010,919584,431
620,David Lutterus,69.0,72.17,291.9,56.61,64.29,-0.33,-0.707,-1.044,0,0,2010,123170,103
621,David Toms,86.0,70.337,281.3,71.88,67.58,0.274,0.433,0.693,2,0,2010,1590998,1118
622,Davis Love III,79.0,70.888,297.7,64.2,70.25,-0.51,0.68,0.173,3,0,2010,1214472,708
623,Dean Wilson,54.0,70.223,281.6,67.37,68.98,0.781,-0.044,0.736,1,0,2010,832640,434
624,Derek Lamely,81.0,71.666,294.0,54.84,61.93,0.02,-0.611,-0.592,1,1,2010,972961,487
625,Dustin Johnson,83.0,70.135,308.5,56.35,67.95,0.112,0.869,0.979,7,2,2010,4473122,2493
626,Ernie Els,72.0,69.843,288.4,60.16,67.86,0.33,0.992,1.322,7,2,2010,4558861,1438
627,Freddie Jacobson,83.0,70.367,283.1,62.16,67.8,0.241,0.479,0.722,3,0,2010,1666252,1101
628,Garrett Willis,82.0,71.159,280.2,70.44,69.87,-0.137,0.085,-0.053,1,0,2010,871763,517
629,Garth Mulroy,53.0,72.0,295.6,60.7,70.07,-0.586,0.147,-0.436,1,0,2010,287118,160
630,Geoff Ogilvy,62.0,70.764,287.0,57.94,67.69,0.37,0.364,0.735,2,1,2010,2393045,753
631,George McNeill,79.0,71.207,293.4,54.34,66.03,0.319,-0.296,0.028,1,0,2010,664854,338
632,Graham DeLaet,88.0,70.645,305.7,64.74,71.27,-0.36,0.752,0.396,3,0,2010,954011,393
633,Greg Chalmers,93.0,70.732,275.5,59.8,66.01,0.772,-0.424,0.354,2,0,2010,989415,1113
634,Greg Kraft,52.0,73.07,273.2,62.5,60.63,-0.182,-1.856,-2.041,0,0,2010,52176,14
635,Greg Owen,69.0,71.77,291.4,61.46,69.0,-0.641,-0.108,-0.745,0,0,2010,268835,184
636,Heath Slocum,97.0,70.673,278.9,72.42,69.59,-0.259,0.837,0.58,5,1,2010,2387687,1222
637,Henrik Bjornstad,72.0,71.722,288.1,64.74,69.11,-0.211,-0.416,-0.626,0,0,2010,215913,188
638,Hunter Mahan,85.0,70.476,291.8,67.94,68.65,0.068,0.596,0.665,3,2,2010,3574550,678
639,Ian Poulter,55.0,71.211,286.8,62.72,62.47,0.213,-0.542,-0.335,2,1,2010,2079664,1396
640,J.B. Holmes,100.0,70.089,307.2,54.45,65.5,0.064,0.868,0.936,3,0,2010,2386248,1501
641,J.J. Henry,92.0,70.772,292.8,65.07,68.72,0.217,0.141,0.36,2,0,2010,1035688,603
642,J.P. Hayes,79.0,70.981,281.0,64.91,66.0,0.027,-0.057,-0.035,3,0,2010,862523,652
643,James Driscoll,78.0,70.954,293.9,56.96,66.81,0.315,-0.255,0.056,1,0,2010,500625,340
644,James Nitties,92.0,71.277,286.2,65.69,66.47,0.133,-0.388,-0.262,1,0,2010,525034,338
645,Jarrod Lyle,54.0,70.835,296.2,63.4,65.34,0.049,-0.018,0.027,2,0,2010,422760,227
646,Jason Bohn,84.0,70.856,279.8,66.89,67.79,0.13,0.303,0.43,2,1,2010,1904763,1079
647,Jason Day,82.0,70.274,298.2,57.78,67.68,-0.009,0.752,0.738,5,1,2010,2904327,1660
648,Jason Dufner,87.0,71.018,281.9,69.24,66.67,-0.6,0.606,0.006,2,0,2010,1121695,1000
649,Jay Williamson,76.0,71.29,285.1,69.87,68.95,-0.174,-0.066,-0.221,1,0,2010,404498,280
650,Jeev Milkha Singh,59.0,70.631,287.3,60.94,65.28,-0.045,0.165,0.118,1,0,2010,420245,253
651,Jeff Gove,57.0,72.401,288.7,62.96,69.72,-0.947,-0.212,-1.164,0,0,2010,92155,77
652,Jeff Maggert,76.0,71.445,279.1,67.55,66.75,-0.357,-0.384,-0.741,2,0,2010,801579,463
653,Jeff Overton,89.0,70.497,297.3,55.44,66.86,0.409,0.222,0.63,6,0,2010,3456356,480
654,Jeff Quinney,91.0,70.851,273.3,70.34,65.45,0.388,-0.427,-0.039,2,0,2010,605866,378
655,Jerod Turner,54.0,72.602,279.0,61.66,58.94,-0.002,-1.883,-1.885,0,0,2010,91343,57
656,Jerry Kelly,99.0,70.954,279.0,70.5,67.49,-0.444,0.658,0.209,1,0,2010,1136898,493
657,Jim Furyk,76.0,69.828,276.0,71.01,67.12,0.402,1.159,1.564,7,3,2010,4809622,2980
658,Jimmy Walker,82.0,70.953,292.9,51.29,65.88,0.252,-0.155,0.093,2,0,2010,937987,642
659,Joe Durant,67.0,70.365,285.6,75.94,71.95,-0.292,0.775,0.481,2,0,2010,788755,321
660,Joe Ogilvie,99.0,71.296,285.9,59.32,66.07,0.096,-0.338,-0.249,1,0,2010,641797,454
661,John Daly,63.0,71.697,305.7,52.21,65.66,-0.653,-0.335,-0.989,0,0,2010,158587,97
662,John Mallinger,78.0,71.27,280.4,69.34,67.11,0.051,-0.228,-0.175,1,0,2010,684687,342
663,John Merrick,109.0,71.102,291.4,66.71,70.24,-0.126,0.144,0.019,1,0,2010,658815,459
664,John Rollins,81.0,70.728,295.5,64.58,68.18,-0.216,0.71,0.497,2,0,2010,1182736,736
665,John Senden,103.0,70.618,290.2,67.22,72.49,-0.139,0.749,0.608,2,0,2010,1274058,1192
666,Johnson Wagner,85.0,71.113,282.4,62.59,68.24,0.065,-0.16,-0.095,2,0,2010,753802,197
667,Jonathan Byrd,85.0,70.437,290.9,61.54,70.0,0.029,0.491,0.524,4,1,2010,1534981,483
668,Josh Teater,101.0,71.116,293.1,63.69,68.8,-0.314,0.206,-0.109,2,0,2010,1005323,754
669,Justin Bolli,55.0,72.881,281.8,66.28,64.85,-0.558,-1.361,-1.918,0,0,2010,73990,6
670,Justin Leonard,89.0,70.419,277.8,69.46,65.09,0.181,0.356,0.539,1,0,2010,1026445,1096
671,Justin Rose,78.0,69.885,287.8,65.17,66.31,0.243,0.952,1.195,4,2,2010,3603331,718
672,K.J. Choi,82.0,70.099,283.1,65.99,68.52,0.054,0.927,0.984,4,0,2010,2199962,718
673,Kenny Perry,69.0,70.841,290.6,67.99,69.04,-0.244,0.645,0.401,1,0,2010,968811,565
674,Kevin Johnson,62.0,72.878,276.5,63.85,62.5,-0.35,-1.795,-2.147,0,0,2010,69806,53
675,Kevin Na,94.0,70.314,278.6,66.46,65.89,0.493,0.362,0.854,4,0,2010,2021815,570
676,Kevin Stadler,86.0,71.149,290.2,62.96,67.95,-0.275,0.055,-0.221,5,0,2010,931720,394
677,Kevin Streelman,90.0,70.727,290.3,65.64,66.67,0.044,0.086,0.13,5,0,2010,1472349,583
678,Kevin Sutherland,86.0,70.604,287.9,66.89,71.96,-0.094,0.558,0.468,1,0,2010,818682,499
679,Kris Blanks,91.0,71.371,286.4,66.87,71.15,-0.568,0.408,-0.161,3,0,2010,1109178,794
680,Lee Janzen,77.0,71.194,287.7,59.91,67.68,-0.302,0.101,-0.199,1,0,2010,603195,280
681,Lucas Glover,75.0,70.949,295.7,62.84,67.42,-0.115,0.416,0.297,3,0,2010,1511275,770
682,Luke Donald,71.0,69.85,277.0,62.36,65.28,0.87,0.619,1.493,7,0,2010,3665234,2700
683,Marc Leishman,87.0,70.769,295.0,58.37,66.67,-0.146,0.563,0.418,2,0,2010,1488837,1268
684,Mark Calcavecchia,50.0,72.222,281.0,62.18,65.48,-0.871,-0.126,-0.996,0,0,2010,119980,88
685,Mark Wilson,87.0,71.098,280.6,68.85,70.28,0.139,-0.134,0.009,2,0,2010,789681,343
686,Martin Flores,75.0,71.882,300.7,50.15,64.79,-0.106,-0.776,-0.883,1,0,2010,318673,137
687,Martin Laird,91.0,71.158,296.5,60.27,67.83,-0.304,0.448,0.145,4,0,2010,2137928,1005
688,Mathew Goggin,85.0,71.672,289.3,65.24,69.74,-0.377,-0.122,-0.501,1,0,2010,483537,267
689,Mathias GrÃ¶nberg,61.0,71.614,293.7,64.28,66.77,-0.184,-0.099,-0.286,1,0,2010,322130,198
690,Matt Bettencourt,91.0,71.575,294.0,57.16,60.17,0.368,-0.853,-0.487,1,1,2010,855901,472
691,Matt Every,60.0,70.986,290.9,62.06,64.75,0.24,-0.31,-0.073,1,0,2010,456847,322
692,Matt Jones,89.0,70.605,293.3,57.07,65.29,0.509,-0.02,0.495,5,0,2010,1215743,1035
693,Matt Kuchar,97.0,69.606,286.9,67.89,69.36,0.648,0.827,1.461,11,1,2010,4910477,2728
694,Michael Bradley,77.0,71.498,281.5,60.37,68.65,-0.084,-0.31,-0.392,0,0,2010,360845,306
695,Michael Connell,89.0,70.9,281.3,63.4,66.94,0.337,-0.195,0.142,2,0,2010,846459,314
696,Michael Letzig,84.0,70.951,289.7,63.47,67.92,-0.071,0.112,0.029,1,0,2010,563729,415
697,Michael Sim,64.0,70.896,283.3,63.35,65.34,0.518,-0.283,0.235,3,0,2010,1338926,1244
698,Mike Weir,59.0,71.571,273.9,53.83,57.89,-0.018,-0.221,-0.241,1,0,2010,559092,360
699,Nathan Green,86.0,71.421,279.5,61.0,63.18,0.339,-0.592,-0.254,1,0,2010,636180,414
700,Nicholas Thompson,88.0,71.815,289.2,64.04,67.86,-0.885,0.011,-0.875,1,0,2010,546476,284
701,Nick Watney,91.0,70.291,296.5,62.63,69.63,0.09,0.806,0.915,8,0,2010,2536714,880
702,Omar Uresti,74.0,71.579,272.0,76.08,68.22,-0.757,0.243,-0.512,1,0,2010,283455,192
703,Padraig Harrington,57.0,70.174,292.1,56.7,61.9,0.267,0.799,1.063,5,0,2010,1381453,772
704,Pat Perez,90.0,70.593,287.1,65.23,68.95,0.379,0.193,0.572,3,0,2010,947588,581
705,Paul Casey,64.0,69.72,294.2,61.31,68.68,0.812,0.587,1.411,7,0,2010,3613194,2250
706,Paul Goydos,78.0,71.532,273.6,70.58,65.95,-0.158,-0.175,-0.331,3,0,2010,1121250,602
707,Paul Stankowski,62.0,70.354,290.3,65.38,70.88,0.332,0.233,0.561,2,0,2010,666591,296
708,Phil Mickelson,76.0,69.966,299.1,52.66,65.13,-0.147,1.151,1.001,6,1,2010,3821733,843
709,Retief Goosen,75.0,69.718,291.4,64.79,65.96,0.679,0.917,1.598,10,0,2010,3218089,1360
710,Rich Barcelo,70.0,71.751,287.6,52.8,61.72,0.144,-0.668,-0.52,0,0,2010,188892,187
711,Richard Johnson,90.0,71.156,277.3,70.92,68.5,0.188,-0.486,-0.293,2,0,2010,678515,323
712,Rickie Fowler,98.0,70.429,292.7,64.19,69.9,0.129,0.665,0.793,7,0,2010,2857108,1564
713,Ricky Barnes,103.0,70.47,285.5,58.37,68.23,0.021,0.58,0.604,6,0,2010,1835195,1027
714,Robert Allenby,76.0,70.131,289.1,64.75,68.17,0.137,1.014,1.156,5,0,2010,2974997,500
715,Robert Garrigus,71.0,71.264,315.5,55.73,67.61,-0.164,-0.09,-0.269,3,1,2010,1583275,469
716,Rocco Mediate,71.0,71.341,278.1,68.27,69.32,-0.543,0.378,-0.164,1,1,2010,1138067,150
717,Rod Pampling,77.0,71.501,283.5,65.45,64.94,-0.247,-0.067,-0.314,0,0,2010,299264,275
718,Roger Tambellini,77.0,71.969,292.0,62.57,69.73,-0.789,-0.151,-0.925,1,0,2010,370736,219
719,Roland Thatcher,72.0,71.82,288.0,60.04,65.9,-0.384,-0.408,-0.788,2,0,2010,796157,142
720,Rory McIlroy,54.0,70.351,300.0,62.64,66.24,-0.225,0.944,0.714,5,1,2010,2554280,1489
721,Rory Sabbatini,79.0,71.366,289.1,60.28,66.74,-0.202,0.358,0.16,3,0,2010,1546808,1197
722,Ryan Moore,80.0,70.623,289.7,67.99,66.67,0.299,0.385,0.687,6,0,2010,2374823,613
723,Ryan Palmer,84.0,70.824,295.8,57.23,65.48,0.433,-0.139,0.294,5,1,2010,2985296,595
724,Ryuji Imada,90.0,70.753,278.7,63.11,64.51,0.551,-0.265,0.286,4,0,2010,1028869,720
725,Scott McCarron,90.0,70.94,288.6,67.36,65.8,0.507,-0.357,0.155,1,0,2010,642543,354
726,Scott Piercy,88.0,71.196,296.8,56.03,67.74,0.215,-0.22,-0.004,2,0,2010,676432,380
727,Scott Verplank,74.0,70.838,278.6,68.16,63.85,0.034,0.323,0.36,3,0,2010,1653190,813
728,Sean O'Hair,84.0,70.603,289.3,63.98,68.22,-0.071,0.697,0.615,3,0,2010,1859040,1206
729,Sergio Garcia,58.0,71.076,292.7,63.75,66.13,-0.36,0.424,0.068,1,0,2010,936845,461
730,Shaun Micheel,70.0,70.499,283.2,62.67,64.61,0.235,0.251,0.487,3,0,2010,1025500,600
731,Skip Kendall,58.0,71.64,279.5,69.63,62.56,0.333,-1.168,-0.832,1,0,2010,304439,159
732,Spencer Levin,110.0,70.385,280.6,65.12,69.88,0.132,0.433,0.564,3,0,2010,1199672,673
733,Stephen Ames,75.0,70.639,282.0,66.47,67.79,0.375,0.186,0.553,1,0,2010,916527,866
734,Steve Elkington,74.0,70.318,289.2,68.01,68.71,0.328,0.226,0.557,3,0,2010,955084,571
735,Steve Flesch,78.0,72.041,277.4,66.02,62.76,-0.078,-0.57,-0.651,1,0,2010,440374,272
736,Steve Lowery,67.0,72.202,286.2,61.9,65.52,-0.386,-0.794,-1.177,0,0,2010,118602,67
737,Steve Marino,81.0,70.875,290.6,61.96,67.49,0.261,0.307,0.567,3,0,2010,1479239,778
738,Steve Stricker,73.0,69.66,282.9,68.5,68.29,0.437,1.383,1.818,9,2,2010,4190235,2028
739,Steve Wheatcroft,74.0,71.53,287.1,64.12,63.47,0.211,-0.833,-0.626,1,0,2010,408595,213
740,Stewart Cink,84.0,70.431,292.4,63.98,68.61,0.19,0.628,0.827,3,0,2010,1573636,1448
741,Stuart Appleby,101.0,70.954,289.0,59.75,61.84,-0.056,0.189,0.13,3,1,2010,1965825,1157
742,Ted Purdy,86.0,71.824,290.8,60.61,63.96,-0.114,-0.784,-0.892,0,0,2010,307677,244
743,Tim Clark,88.0,70.246,272.2,73.72,66.73,0.269,0.564,0.832,7,1,2010,3530002,593
744,Tim Herron,79.0,71.171,291.7,53.49,66.51,0.171,-0.4,-0.227,0,0,2010,391502,234
745,Tim Petrovic,105.0,70.992,278.7,67.37,66.35,-0.006,0.255,0.249,2,0,2010,1028960,937
746,Tom Gillis,97.0,70.514,288.7,68.54,65.98,0.359,0.261,0.616,3,0,2010,1166146,1276
747,Tom Pernice Jr.,74.0,70.757,280.0,66.95,69.78,-0.165,0.284,0.121,1,0,2010,662730,331
748,Trevor Immelman,55.0,71.162,286.4,64.07,66.06,0.074,-0.401,-0.324,0,0,2010,422171,266
749,Troy Matteson,84.0,71.31,296.3,60.36,71.43,-0.445,0.287,-0.157,2,0,2010,736060,575
750,Troy Merritt,86.0,71.486,288.2,59.37,65.48,0.512,-0.954,-0.437,1,0,2010,786977,331
751,Vance Veazey,58.0,72.323,284.3,55.88,62.71,-0.109,-1.329,-1.444,0,0,2010,111370,73
752,Vaughn Taylor,87.0,70.794,284.4,68.26,68.33,-0.056,0.446,0.387,6,0,2010,1838861,1495
753,Vijay Singh,75.0,70.343,292.3,63.28,68.62,-0.739,1.494,0.753,2,0,2010,1334262,1108
754,Webb Simpson,98.0,70.683,285.4,60.47,66.16,0.37,-0.2,0.169,2,0,2010,972962,628
755,Will MacKenzie,72.0,70.918,290.8,66.33,68.52,-0.448,0.644,0.202,1,0,2010,557504,267
756,Woody Austin,93.0,71.121,281.1,66.48,67.92,-0.063,0.094,0.034,3,0,2010,727352,394
757,Y.E. Yang,72.0,71.033,288.6,64.31,65.95,0.188,-0.019,0.166,2,0,2010,1301726,923
758,Zach Johnson,93.0,70.527,279.7,71.24,66.54,0.583,0.21,0.792,3,1,2010,2916993,683
759,Ã?ngel Cabrera,64.0,70.919,304.5,54.49,65.78,-0.148,0.4,0.249,2,0,2010,1266440,1082
760,Aaron Baddeley,77.0,70.23,296.2,55.67,65.48,0.324,0.824,1.148,5,1,2011,3094693,1007
761,Adam Scott,60.0,69.872,299.7,63.98,68.08,-0.247,0.882,0.635,7,1,2011,3764797,778
762,Alex Cejka,59.0,71.178,280.3,66.42,66.1,-0.665,0.527,-0.138,0,0,2011,344902,303
763,Alex Prugh,82.0,71.904,298.6,57.35,65.95,-0.582,-0.375,-0.958,0,0,2011,292070,209
764,Alexandre Rocha,65.0,71.262,290.9,62.23,68.23,-0.001,-0.374,-0.375,0,0,2011,225026,127
765,Andres Gonzales,60.0,71.634,293.1,61.49,64.42,0.143,-0.795,-0.652,0,0,2011,186847,93
766,Andres Romero,77.0,70.495,294.7,57.8,63.41,0.4,0.074,0.474,4,0,2011,1313133,939
767,Anthony Kim,72.0,70.775,294.2,46.99,61.58,0.239,-0.31,-0.071,2,0,2011,1085846,702
768,Arjun Atwal,91.0,71.444,284.8,56.31,63.25,0.044,-0.453,-0.409,1,0,2011,690237,459
769,Aron Price,58.0,70.729,282.6,70.29,67.09,0.094,0.186,0.28,0,0,2011,333290,272
770,Ben Crane,76.0,70.434,284.9,67.06,66.36,0.134,0.356,0.49,4,1,2011,1679595,561
771,Ben Curtis,66.0,70.839,276.7,71.91,65.82,0.239,-0.049,0.19,0,0,2011,423466,304
772,Ben Martin,74.0,71.419,289.5,63.43,64.76,0.406,-0.681,-0.275,1,0,2011,340080,242
773,Bill Haas,93.0,70.135,296.6,63.59,69.44,0.165,0.752,0.916,7,1,2011,4088637,2760
774,Bill Lunde,92.0,71.046,291.5,61.11,69.38,0.003,0.057,0.06,0,0,2011,639548,668
775,Billy Horschel,75.0,71.512,291.0,66.22,67.07,-0.024,-0.168,-0.192,2,0,2011,533024,197
776,Billy Mayfair,94.0,70.747,283.3,70.41,68.77,-0.237,0.621,0.385,2,0,2011,780578,353
777,Bio Kim,71.0,71.696,296.1,52.87,59.49,0.033,-0.886,-0.854,0,0,2011,345588,179
778,Blake Adams,116.0,70.7,292.1,65.79,65.48,0.475,-0.064,0.411,4,0,2011,1100558,985
779,Bo Van Pelt,92.0,70.092,297.4,63.59,68.02,-0.167,1.034,0.867,5,0,2011,2344546,610
780,Bobby Gates,82.0,71.616,297.4,60.1,64.71,-0.452,-0.445,-0.898,3,0,2011,666735,256
781,Boo Weekley,66.0,71.176,296.6,66.74,71.68,-1.1,0.818,-0.282,0,0,2011,279531,223
782,Brandt Jobe,100.0,70.334,298.5,65.87,69.16,-0.015,0.611,0.596,4,0,2011,1629764,1238
783,Brandt Snedeker,85.0,69.859,287.2,64.02,64.9,0.588,0.507,1.094,7,1,2011,3587206,1668
784,Brendan Steele,89.0,71.019,292.8,64.83,65.45,-0.06,0.054,-0.006,3,1,2011,1976310,1160
785,Brendon de Jonge,105.0,70.429,287.8,64.04,66.45,0.273,0.303,0.576,3,0,2011,1241326,1024
786,Brian Davis,105.0,70.469,283.3,70.33,67.35,-0.035,0.64,0.605,2,0,2011,1308009,1438
